source_model_tag,model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,test_accuracy,test_loss,test_correct,test_total,param_count,model_size_kb,inference_ms_per_batch_gpu,elapsed_seconds
overnight-conv1d-64-4layer-drop0.35-lr0.001,user-split-conv1d-64-4layer-drop0.35-lr0.001,Conv1D,64,4,0.35,0.001,35,22,0.9175,0.2960479041934013,0.9175,0.2960479041934013,0.9077306733167082,0.3397621285737007,364,401,39508,167.0244140625,0.5779166667101283,9.528013400005875
overnight-gru-256-1layer-drop0.0-lr0.001,user-split-gru-256-1layer-drop0.0-lr0.001,GRU,256,1,0.0,0.001,40,6,0.7925,0.6159797640517354,0.7925,0.6159797640517354,0.6957605985037406,0.935833191931099,279,401,205588,805.5673828125,0.33578333313926123,8.470136600000842
overnight-gru-256-2layer-drop0.0-lr0.0003,user-split-gru-256-2layer-drop0.0-lr0.0003,GRU,256,2,0.0,0.0003,40,22,0.7825,0.8257815351895988,0.7825,0.8257815351895988,0.8179551122194514,0.6574187822026802,328,401,600340,2347.8798828125,0.5163666666097319,11.529074799997034
overnight-conv1d-64-3layer-drop0.2-lr0.0005,user-split-conv1d-64-3layer-drop0.2-lr0.0005,Conv1D,64,3,0.2,0.0005,35,33,0.915,0.3106212930381298,0.915,0.3106212930381298,0.9301745635910225,0.24004498518018652,373,401,27028,115.392578125,0.4558000000542961,7.62193059999845
overnight-conv1d-64-3layer-drop0.1-lr0.001,user-split-conv1d-64-3layer-drop0.1-lr0.001,Conv1D,64,3,0.1,0.001,35,24,0.9575,0.21105694241821765,0.9575,0.21105694241821765,0.9276807980049875,0.2072242634124738,372,401,27028,115.392578125,0.44596333342875977,7.653203699999722
overnight-conv1d-64-3layer-drop0.2-lr0.001,user-split-conv1d-64-3layer-drop0.2-lr0.001,Conv1D,64,3,0.2,0.001,35,33,0.965,0.15613661882467567,0.965,0.15613661882467567,0.9226932668329177,0.3373048585326297,370,401,27028,115.392578125,0.4512100000283681,7.668503100001544
overnight-gru-256-1layer-drop0.0-lr0.0005,user-split-gru-256-1layer-drop0.0-lr0.0005,GRU,256,1,0.0,0.0005,40,12,0.68,1.1092489629425109,0.68,1.1092489629425109,0.743142144638404,0.7376307626614844,298,401,205588,805.5673828125,0.32901999996587017,8.691894499999762
overnight-gru-128-2layer-drop0.0-lr0.001,user-split-gru-128-2layer-drop0.0-lr0.001,GRU,128,2,0.0,0.001,40,17,0.7875,0.5997768074274064,0.7875,0.5997768074274064,0.8653366583541147,0.5021586699824678,347,401,152724,599.3798828125,0.3644766666790626,8.871771199999785
overnight-gru-128-2layer-drop0.35-lr0.001,user-split-gru-128-2layer-drop0.35-lr0.001,GRU,128,2,0.35,0.001,40,36,0.7375,1.0155755281448364,0.7375,1.0155755281448364,0.85785536159601,0.5163573512709944,344,401,152724,599.3798828125,0.3634566666733008,9.36240259999613
overnight-conv1d-128-2layer-drop0.0-lr0.0005,user-split-conv1d-128-2layer-drop0.0-lr0.0005,Conv1D,128,2,0.0,0.0005,35,30,0.875,0.42236902073025706,0.875,0.42236902073025706,0.9226932668329177,0.2484837257282395,370,401,53652,217.6982421875,0.3256133333100782,7.749319100003049
