model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-lstm-64-3layer-drop0.2-lr0.0005,LSTM,64,3,0.2,0.0005,40,37,0.9625,0.15033461153507233,0.9578125,0.13260929714888334,85524,339.1337890625,1.2426399998366833
overnight-lstm-384-2layer-drop0.0-lr0.0005,LSTM,384,2,0.0,0.0005,40,11,0.9609375,0.13885400388389826,0.9203125,0.2075380865484476,1787924,6988.1298828125,5.985261999885552
overnight-lstm-64-3layer-drop0.35-lr0.0005,LSTM,64,3,0.35,0.0005,40,38,0.959375,0.16825798489153385,0.934375,0.21062235496938228,85524,339.1337890625,1.1732600000686944
overnight-gru-64-2layer-drop0.0-lr0.0003,GRU,64,2,0.0,0.0003,40,37,0.9421875,0.2470352724194526,0.9359375,0.2348735198378563,39508,158.3173828125,3.732052000123076
overnight-gru-64-1layer-drop0.0-lr0.0005,GRU,64,1,0.0,0.0005,40,39,0.93125,0.2202484872192144,0.93125,0.2202484872192144,14548,59.8173828125,1.887327999575064
overnight-gru-64-2layer-drop0.1-lr0.0003,GRU,64,2,0.1,0.0003,40,39,0.9203125,0.2942278228700161,0.9203125,0.2942278228700161,39508,158.3173828125,3.738377999980002
overnight-lstm-64-1layer-drop0.0-lr0.0005,LSTM,64,1,0.0,0.0005,40,39,0.91875,0.312107203155756,0.91875,0.312107203155756,18964,77.0673828125,0.45255000004544854
overnight-gru-64-2layer-drop0.35-lr0.0003,GRU,64,2,0.35,0.0003,40,39,0.90625,0.3235307425260544,0.90625,0.3235307425260544,39508,158.3173828125,3.706949999905192
overnight-gru-64-2layer-drop0.2-lr0.0003,GRU,64,2,0.2,0.0003,40,38,0.8828125,0.3995399355888366,0.878125,0.3885239072144031,39508,158.3173828125,3.731812000041828
overnight-gru-64-1layer-drop0.0-lr0.0003,GRU,64,1,0.0,0.0003,40,39,0.821875,0.6278808504343033,0.821875,0.6278808504343033,14548,59.8173828125,1.879536000196822
overnight-rnn-64-1layer-drop0.0-lr0.001,RNN,64,1,0.0,0.001,30,25,0.275,2.034896278381348,0.25625,1.9968195021152495,5716,25.3173828125,0.8345279999775812
overnight-rnn-128-1layer-drop0.0-lr0.0005,RNN,128,1,0.0,0.0005,30,12,0.234375,2.116071158647537,0.2296875,2.09131343960762,19604,79.5673828125,1.2787800002843142
overnight-rnn-64-2layer-drop0.1-lr0.0005,RNN,64,2,0.1,0.0005,30,9,0.228125,2.0899305045604706,0.1828125,2.197876286506653,14036,58.8173828125,1.7204480001237243
overnight-rnn-128-2layer-drop0.1-lr0.0005,RNN,128,2,0.1,0.0005,30,11,0.2125,2.1198969781398773,0.1953125,2.1479910373687745,52628,209.5673828125,1.9272700004512444
