epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,name,kind,hidden_layers,conv_channels,dropout,use_batchnorm,lr,epochs,train_batches,valid_batches
10,0.37898185327649114,0.8615885416666667,0.4305975845881871,0.8504464285714286,0.8611607142857143,overnight_dense_512_256_drop0.0_bn0_lr0.001,dense,"512,256",,0.0,False,0.001,10,120,35
10,0.39898851290345194,0.8618489583333333,0.4348256822143282,0.85,0.85,overnight_dense_512_256_drop0.0_bn0_lr0.0003,dense,"512,256",,0.0,False,0.0003,10,120,35
10,0.371432413905859,0.8614583333333333,0.40192919969558716,0.85,0.8665178571428571,overnight_dense_420_256_drop0.2_bn1_lr0.001,dense,"420,256",,0.2,True,0.001,10,120,35
10,0.42692647005120915,0.8475260416666667,0.4151930732386453,0.8495535714285715,0.8638392857142857,overnight_dense_512_256_drop0.35_bn1_lr0.001,dense,"512,256",,0.35,True,0.001,10,120,35
10,0.39398507177829745,0.85625,0.4215978341443198,0.8495535714285715,0.8616071428571429,overnight_dense_128_64_drop0.1_bn1_lr0.002,dense,"128,64",,0.1,True,0.002,10,120,35
10,0.4279836611201366,0.8540364583333333,0.41360162113394056,0.8495535714285715,0.8611607142857143,overnight_dense_512_256_128_drop0.2_bn1_lr0.0001,dense,"512,256,128",,0.2,True,0.0001,10,120,35
10,0.5195096015930176,0.8282552083333333,0.4370477659361703,0.8491071428571428,0.8491071428571428,overnight_dense_512_256_128_drop0.35_bn1_lr0.0001,dense,"512,256,128",,0.35,True,0.0001,10,120,35
10,0.3870642448465029,0.8579427083333333,0.41834682524204253,0.8486607142857143,0.8620535714285714,overnight_dense_256_128_drop0.1_bn1_lr0.001,dense,"256,128",,0.1,True,0.001,10,120,35
10,0.3719895504415035,0.862890625,0.4020705214568547,0.8486607142857143,0.8633928571428572,overnight_dense_256_128_drop0.0_bn1_lr0.002,dense,"256,128",,0.0,True,0.002,10,120,35
12,0.40187983140349387,0.8563802083333333,0.40249218940734866,0.8482142857142857,0.8705357142857143,overnight_cnn_32_64_128_drop0.2_bn1_lr0.002,cnn,"256,128","32,64,128",0.2,True,0.002,12,120,35
10,0.45030429884791373,0.84609375,0.43399341532162256,0.8482142857142857,0.8575892857142857,overnight_dense_128_64_drop0.2_bn1_lr0.0003,dense,"128,64",,0.2,True,0.0003,10,120,35
10,0.36494868863373997,0.86484375,0.4210837342909404,0.8482142857142857,0.8482142857142857,overnight_dense_420_256_drop0.0_bn1_lr0.002,dense,"420,256",,0.0,True,0.002,10,120,35
12,0.5182208197812239,0.813671875,0.418758089201791,0.8477678571428572,0.8491071428571428,overnight_cnn_32_64_128_drop0.35_bn0_lr0.002,cnn,"256,128","32,64,128",0.35,False,0.002,12,120,35
10,0.523751130203406,0.822265625,0.4473236918449402,0.8477678571428572,0.8477678571428572,overnight_dense_128_64_drop0.35_bn1_lr0.0003,dense,"128,64",,0.35,True,0.0003,10,120,35
10,0.4261999111622572,0.846484375,0.4299778240067618,0.8477678571428572,0.8477678571428572,overnight_dense_128_64_drop0.1_bn0_lr0.001,dense,"128,64",,0.1,False,0.001,10,120,35
10,0.40311311607559525,0.8615885416666667,0.4323539784976414,0.8473214285714286,0.8473214285714286,overnight_dense_128_64_drop0.0_bn0_lr0.001,dense,"128,64",,0.0,False,0.001,10,120,35
10,0.46863569840788843,0.8294270833333334,0.4380711874791554,0.8473214285714286,0.8473214285714286,overnight_dense_420_256_drop0.35_bn0_lr0.002,dense,"420,256",,0.35,False,0.002,10,120,35
10,0.3974342245608568,0.8583333333333333,0.4406320009912763,0.8473214285714286,0.8651785714285715,overnight_dense_128_64_drop0.0_bn1_lr0.0003,dense,"128,64",,0.0,True,0.0003,10,120,35
10,0.4455746918916702,0.8436197916666667,0.42142944250788006,0.846875,0.8566964285714286,overnight_dense_256_128_drop0.35_bn1_lr0.0003,dense,"256,128",,0.35,True,0.0003,10,120,35
10,0.4280240540703138,0.85,0.41756125007356915,0.846875,0.8629464285714286,overnight_dense_256_128_drop0.35_bn1_lr0.001,dense,"256,128",,0.35,True,0.001,10,120,35
10,0.42929285888870555,0.8522135416666666,0.42257789841720034,0.846875,0.8691964285714285,overnight_dense_420_256_drop0.2_bn1_lr0.0001,dense,"420,256",,0.2,True,0.0001,10,120,35
10,0.3723532376190027,0.8627604166666667,0.4240388653108052,0.8459821428571429,0.8669642857142857,overnight_dense_420_256_drop0.1_bn1_lr0.001,dense,"420,256",,0.1,True,0.001,10,120,35
10,0.3663756052652995,0.8658854166666666,0.40256228276661465,0.8459821428571429,0.8674107142857143,overnight_dense_256_128_drop0.1_bn1_lr0.002,dense,"256,128",,0.1,True,0.002,10,120,35
12,0.47595726549625395,0.845703125,0.46014777762549264,0.8459821428571429,0.8459821428571429,overnight_cnn_32_64_128_drop0.0_bn1_lr0.0001,cnn,"256,128","32,64,128",0.0,True,0.0001,12,120,35
10,0.46866256644328436,0.8498697916666667,0.4343490515436445,0.8455357142857143,0.8540178571428572,overnight_dense_256_128_drop0.2_bn1_lr0.0001,dense,"256,128",,0.2,True,0.0001,10,120,35
10,0.4176022479931513,0.8485677083333333,0.44070971395288194,0.8450892857142858,0.8491071428571428,overnight_dense_420_256_drop0.2_bn0_lr0.0003,dense,"420,256",,0.2,False,0.0003,10,120,35
10,0.3758806876838207,0.865625,0.42942174843379427,0.8450892857142858,0.8625,overnight_dense_512_256_128_drop0.1_bn1_lr0.001,dense,"512,256,128",,0.1,True,0.001,10,120,35
10,0.3816831904153029,0.860546875,0.42546480681215015,0.8450892857142858,0.8459821428571429,overnight_dense_512_256_drop0.1_bn0_lr0.001,dense,"512,256",,0.1,False,0.001,10,120,35
10,0.4542008132984241,0.838671875,0.43326331547328406,0.8441964285714286,0.8441964285714286,overnight_dense_128_64_drop0.2_bn0_lr0.001,dense,"128,64",,0.2,False,0.001,10,120,35
10,0.4325453201929728,0.8453125,0.4140414676495961,0.8441964285714286,0.8629464285714286,overnight_dense_512_256_drop0.2_bn0_lr0.002,dense,"512,256",,0.2,False,0.002,10,120,35
10,0.4185676901290814,0.8451822916666667,0.4318172335624695,0.8433035714285714,0.8504464285714286,overnight_dense_256_128_drop0.2_bn0_lr0.002,dense,"256,128",,0.2,False,0.002,10,120,35
10,0.4078600918253263,0.8545572916666667,0.44595205868993487,0.8428571428571429,0.8549107142857143,overnight_dense_128_64_drop0.1_bn1_lr0.0003,dense,"128,64",,0.1,True,0.0003,10,120,35
10,0.45284723366300267,0.8377604166666667,0.44301707063402446,0.8428571428571429,0.8540178571428572,overnight_dense_512_256_drop0.35_bn0_lr0.002,dense,"512,256",,0.35,False,0.002,10,120,35
10,0.4587085184951623,0.8381510416666667,0.4561823878969465,0.8428571428571429,0.8428571428571429,overnight_dense_512_256_drop0.35_bn0_lr0.0003,dense,"512,256",,0.35,False,0.0003,10,120,35
10,0.3998419969032208,0.8553385416666667,0.4487512026514326,0.8424107142857142,0.8607142857142858,overnight_dense_512_256_128_drop0.2_bn1_lr0.002,dense,"512,256,128",,0.2,True,0.002,10,120,35
10,0.4733050063252449,0.831640625,0.4439608816589628,0.8424107142857142,0.8424107142857142,overnight_dense_512_256_128_drop0.35_bn0_lr0.0003,dense,"512,256,128",,0.35,False,0.0003,10,120,35
10,0.43435207195580006,0.8537760416666667,0.425612188237054,0.8424107142857142,0.8508928571428571,overnight_dense_512_256_drop0.35_bn1_lr0.0001,dense,"512,256",,0.35,True,0.0001,10,120,35
10,0.46900642812252047,0.8377604166666667,0.42032452140535626,0.8415178571428571,0.8482142857142857,overnight_dense_128_64_drop0.35_bn1_lr0.002,dense,"128,64",,0.35,True,0.002,10,120,35
10,0.3766664734731118,0.8580729166666666,0.417121958732605,0.8415178571428571,0.8642857142857143,overnight_dense_512_256_128_drop0.0_bn1_lr0.002,dense,"512,256,128",,0.0,True,0.002,10,120,35
10,0.4369213250776132,0.8420572916666667,0.4430022392954145,0.8415178571428571,0.8419642857142857,overnight_dense_420_256_drop0.35_bn0_lr0.0003,dense,"420,256",,0.35,False,0.0003,10,120,35
10,0.39554332482318083,0.8553385416666667,0.4130952298641205,0.8415178571428571,0.8611607142857143,overnight_dense_512_256_drop0.35_bn1_lr0.002,dense,"512,256",,0.35,True,0.002,10,120,35
12,0.45443980395793915,0.8385416666666666,0.43937135764530727,0.8415178571428571,0.8415178571428571,overnight_cnn_32_64_128_drop0.0_bn0_lr0.001,cnn,"256,128","32,64,128",0.0,False,0.001,12,120,35
12,0.5455057298143705,0.8096354166666667,0.43361204181398666,0.8410714285714286,0.8419642857142857,overnight_cnn_32_64_128_drop0.35_bn1_lr0.002,cnn,"256,128","32,64,128",0.35,True,0.002,12,120,35
10,0.41908692990740143,0.853515625,0.43691797511918207,0.8410714285714286,0.8486607142857143,overnight_dense_420_256_drop0.1_bn0_lr0.0003,dense,"420,256",,0.1,False,0.0003,10,120,35
10,0.44850144609808923,0.8342447916666667,0.4372942532811846,0.840625,0.8513392857142857,overnight_dense_512_256_128_drop0.2_bn0_lr0.0003,dense,"512,256,128",,0.2,False,0.0003,10,120,35
10,0.3795446409533421,0.8618489583333333,0.42605954834393095,0.840625,0.8517857142857143,overnight_dense_128_64_drop0.0_bn0_lr0.002,dense,"128,64",,0.0,False,0.002,10,120,35
10,0.376109025751551,0.860546875,0.42211232696260725,0.8401785714285714,0.8647321428571428,overnight_dense_512_256_drop0.2_bn1_lr0.002,dense,"512,256",,0.2,True,0.002,10,120,35
10,0.4139013347526391,0.846875,0.4293300892625536,0.8401785714285714,0.8522321428571429,overnight_dense_256_128_drop0.1_bn0_lr0.002,dense,"256,128",,0.1,False,0.002,10,120,35
10,0.4335650517294804,0.844921875,0.44781913842473714,0.8397321428571428,0.8397321428571428,overnight_dense_256_128_drop0.1_bn0_lr0.0003,dense,"256,128",,0.1,False,0.0003,10,120,35
12,0.5575112002591293,0.8045572916666667,0.4691292515822819,0.8397321428571428,0.8397321428571428,overnight_cnn_32_64_128_drop0.2_bn1_lr0.0003,cnn,"256,128","32,64,128",0.2,True,0.0003,12,120,35
10,0.49440458764632544,0.8243489583333333,0.4495562523603439,0.8392857142857143,0.85625,overnight_dense_512_256_128_drop0.35_bn0_lr0.002,dense,"512,256,128",,0.35,False,0.002,10,120,35
10,0.38989973937471706,0.852734375,0.42681580781936646,0.8388392857142857,0.865625,overnight_dense_512_256_128_drop0.1_bn1_lr0.002,dense,"512,256,128",,0.1,True,0.002,10,120,35
10,0.4298335480193297,0.84765625,0.45864549875259397,0.8388392857142857,0.8388392857142857,overnight_dense_256_128_drop0.0_bn0_lr0.0003,dense,"256,128",,0.0,False,0.0003,10,120,35
12,0.5059337466955185,0.8166666666666667,0.44057164575372426,0.8388392857142857,0.8415178571428571,overnight_cnn_32_64_128_drop0.2_bn0_lr0.001,cnn,"256,128","32,64,128",0.2,False,0.001,12,120,35
10,0.4253154998024305,0.8484375,0.419307393687112,0.8383928571428572,0.8522321428571429,overnight_dense_512_256_drop0.35_bn0_lr0.001,dense,"512,256",,0.35,False,0.001,10,120,35
